"query","superkingdom","kingdom","subkingdom","phylum","class","subclass","order","suborder","family","subfamily","tribe","genus","species.group","species","subspecies","varietas"
"Taxa00227","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00228","","","","","","","","","","","","","","","",""
"Taxa00229","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Cladosporiaceae","","","Cladosporium","","","",""
"Taxa00230","Eukaryota","","","","","","","","","","","","","","",""
"Taxa00231","","","","","","","","","","","","","","","",""
"Taxa00232","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00233","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Phaeosphaeriaceae","","","Ophiosphaerella","","Ophiosphaerella agrostidis","",""
"Taxa00234","","","","","","","","","","","","","","","",""
"Taxa00235","","","","","","","","","","","","","","","",""
"Taxa00236","","","","","","","","","","","","","","","",""
"Taxa00237","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00238","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco04","",""
"Taxa00239","","","","","","","","","","","","","","","",""
"Taxa00240","","","","","","","","","","","","","","","",""
"Taxa00241","","","","","","","","","","","","","","","",""
"Taxa00242","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa00243","","","","","","","","","","","","","","","",""
"Taxa00244","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa00245","","","","","","","","","","","","","","","",""
"Taxa00246","","","","","","","","","","","","","","","",""
"Taxa00247","","","","","","","","","","","","","","","",""
"Taxa00248","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00249","","","","","","","","","","","","","","","",""
"Taxa00250","","","","","","","","","","","","","","","",""
"Taxa00251","","","","","","","","","","","","","","","",""
"Taxa00252","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Sordariomycetidae","Diaporthales","","Gnomoniaceae","","","","","","",""
"Taxa00253","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco04","",""
"Taxa00254","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","Rhodotorula","","","",""
"Taxa00255","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco04","",""
"Taxa00256","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco03","",""
"Taxa00257","","","","","","","","","","","","","","","",""
"Taxa00258","","","","","","","","","","","","","","","",""
"Taxa00259","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","Epicoccum","","Epicoccum nigrum","",""
"Taxa00260","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","Erythrobasidiales","","Erythrobasidiaceae","","","Erythrobasidium","","","",""
"Taxa00261","","","","","","","","","","","","","","","",""
"Taxa00262","","","","","","","","","","","","","","","",""
"Taxa00263","","","","","","","","","","","","","","","",""
"Taxa00264","","","","","","","","","","","","","","","",""
"Taxa00265","Eukaryota","Fungi","Dikarya","Ascomycota","Eurotiomycetes","Eurotiomycetidae","Eurotiales","","Aspergillaceae","","","Aspergillus","","","",""
"Taxa00266","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Massarineae","Didymosphaeriaceae","","","Paraphaeosphaeria","","","",""
"Taxa00267","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Exidiaceae","","","Exidia","","Exidia glandulosa","",""
"Taxa00268","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","Amphisphaeriaceae","","","","","","",""
"Taxa00269","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00270","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Phaeosphaeriaceae","","","","","","",""
"Taxa00271","","","","","","","","","","","","","","","",""
"Taxa00272","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa00273","","","","","","","","","","","","","","","",""
"Taxa00274","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00275","","","","","","","","","","","","","","","",""
"Taxa00276","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00277","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","Phoma","","","",""
"Taxa00278","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","","","","","","","","","",""
"Taxa00279","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","","","","","","Sakaguchia","","Sakaguchia oryzae","",""
"Taxa00280","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00281","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00282","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Cryptococcaceae","","","Cryptococcus","","","",""
"Taxa00283","Eukaryota","Fungi","Dikarya","Ascomycota","Leotiomycetes","","Helotiales","","Sclerotiniaceae","","","","","","",""
"Taxa00284","","","","","","","","","","","","","","","",""
"Taxa00285","","","","","","","","","","","","","","","",""
"Taxa00286","Eukaryota","Fungi","Dikarya","Ascomycota","Saccharomycetes","","Saccharomycetales","","Trichomonascaceae","","","","","","",""
"Taxa00287","","","","","","","","","","","","","","","",""
"Taxa00288","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa00289","Eukaryota","","","","Oomycetes","","","","","","","","","","",""
"Taxa00290","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00291","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00292","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","","Trichosphaeriales","","Trichosphaeriaceae","","","Nigrospora","","","",""
"Taxa00293","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","","","","","","","","","","",""
"Taxa00294","Eukaryota","Fungi","Dikarya","Ascomycota","Arthoniomycetes","","Lichenostigmatales","","Phaeococcomycetaceae","","","Phaeococcomyces","","","",""
"Taxa00295","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","Sphaerulina","","Sphaerulina berberidis","",""
"Taxa00296","","","","","","","","","","","","","","","",""
"Taxa00297","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco02","",""
